"COD";"Cubierta";R;G;B;
1;TRIGO;217;255;0;
3;URBANO-VIALES;48;48;48;
4;MAIZ;232;135;46;
5;CEBADA;255;255;190;
8;OTROS CEREALES;255;214;92;
9;ROQUEDOS;97;55;0;
20;SUELO DESNUDO;255;218;209;
33;GIRASOL;190;210;255;
35;COLZA;255;255;0;
39;OTRAS LEGUMINOSAS GRANO;121;240;110;
40;GUISANTES;0;171;34;
60;ALFALFA;11;64;214;
61;FORRAJERAS;158;171;140;
70;TRIGO REGADIO;217;255;0;
71;CEBADA REGADIO;255;255;190;
72;ALFALFA REGADIO;11;64;214;
73;GIRASOL REGADIO;190;210;255;
74;OTROS CEREALES REGADIO;255;214;92;
80;OTROS CULTIVOS INDUSTRIALES;230;186;224;
82;REMOLACHA;179;99;245;
94;PATATAS;186;123;93;
100;VIÑEDO;214;0;89;
101;OLIVAR;196;168;173;
110;HORTICOLA;124;130;194;
177;AROMATICAS;0;154;196;
181;FRUTALES;229;102;255;
183;FRUTALES CASCARA;124;18;150;
200;PASTIZAL;150;255;197;
201;MATORRAL;0;179;137;
202;CONIFERAS;69;112;112;
203;FRONDOSAS CADUCIFOLIAS;64;99;0;
204;FRONDOSAS SIEMPRE VERDES;148;120;125;
255;LAMINA AGUA;115;223;255;

