COD;Cubierta;R;G;B;
1;TRIGO;217;255;0;
3;URBANO-VIALES;48;48;48;
4;MAIZ;232;135;46;
5;CEBADA;255;255;190;
6;CENTENO;61;255;171;
8;AVENA;115;115;0;
9;ROQUEDOS;97;55;0;
13;TRITICALE;255;0;197;
20;SUELO DESNUDO;255;218;209;
21;BARBECHO;238;236;209;
33;GIRASOL;190;210;255;
35;COLZA;255;255;0;
39;OTRAS LEGUMINOSAS GRANO;121;240;110;
40;GUISANTES;0;226;43;
52;VEZA;0;171;34;
60;ALFALFA;11;64;214;
61;FORRAJERAS;158;171;140;
82;REMOLACHA;179;99;245;
85;PASTIZAL;150;255;197;
94;PATATAS;186;123;93;
100;VIÑEDO;214;0;89;
101;OLIVAR;196;168;173;
102;ADORMIDERA;230;200;227;
104;FRUTALES DE CASCARA;124;18;150;
105;OTROS FRUTALES;229;102;255;
108;PERALES;46;117;182;
109;MANZANOS;255;192;0;
120;PINUS SYLVESTRIS;69;112;112;Coniferas
124;PINUS NIGRA;69;112;112;
126;PINUS PINASTER;69;112;112;
130;PINUS PINEA;69;112;112;
132;PINUS HALEPENSIS;69;112;112;
134;PINUS RADIATA;69;112;112;
139;JUNIPERUS THURIFERA;69;112;112;
143;QUERCUS ILEX;148;120;125;Frondosas siempre verdes
149;QUERCUS FAGINEA;64;99;0;
169;HUERTA CEBOLLA;0;154;196;
186;QUERCUS PYRENAICA;64;99;0;
191;FAGUS SYLVATICA;64;99;0;
192;POPULUS SPP.;64;99;0;
193;HUERTA;124;130;194;
195;EUCALYPTUS CAMALDULENSIS;148;120;125;Frondosas siempre verdes
201;MATORRAL;0;179;137;
241;QUERCUS ROBUR;64;99;0;
243;CASTAÑARES;124;18;150;
254;PARQUES;112;173;71;
255;LAMINA AGUA;115;223;255;
